,failure label,true label
1,3,0
2,3,0
3,6,0
4,6,0
5,6,0
6,8,0
7,6,0
8,8,0
9,6,1
10,2,1
11,9,1
12,3,2
13,7,2
14,8,2
15,8,2
16,7,2
17,0,2
18,1,2
19,7,2
20,3,2
21,1,2
22,8,2
23,4,2
24,1,2
25,8,3
26,8,3
27,5,3
28,8,3
29,2,3
30,0,3
31,8,3
32,5,3
33,8,3
34,5,3
35,5,3
36,8,3
37,5,3
38,9,3
39,7,3
40,7,3
41,8,3
42,2,3
43,8,3
44,2,3
45,9,3
46,6,4
47,1,4
48,9,4
49,8,4
50,9,4
51,9,4
52,1,4
53,9,4
54,9,4
55,6,4
56,9,4
57,9,4
58,9,4
59,8,4
60,3,5
61,3,5
62,8,5
63,8,5
64,8,5
65,3,5
66,8,5
67,3,5
68,3,5
69,6,5
70,0,5
71,6,5
72,8,5
73,3,5
74,0,5
75,3,5
76,6,5
77,9,5
78,6,5
79,8,5
80,0,5
81,9,5
82,3,5
83,8,5
84,8,5
85,3,5
86,3,5
87,8,5
88,6,5
89,6,5
90,8,5
91,8,5
92,3,5
93,6,5
94,8,5
95,5,6
96,0,6
97,8,6
98,5,6
99,0,6
100,1,7
101,8,7
102,4,7
103,9,7
104,4,7
105,9,7
106,9,7
107,8,7
108,9,7
109,1,7
110,2,8
111,1,8
112,0,8
113,4,8
114,5,8
115,3,8
116,1,8
117,2,8
118,3,8
119,3,8
120,1,8
121,9,8
122,9,8
123,1,8
124,5,8
125,4,9
126,7,9
127,1,9
128,1,9
129,4,9
130,5,9
131,4,9
132,4,9
133,7,9
134,5,9
135,7,9
136,2,9
137,4,9
138,7,9
139,8,9
140,7,9
141,7,9
142,8,9
